First Name,Last Name,email,password,role
Isaias,Torp,Isaias.Torp32@gmail.com,QCBrusagLbVn2M2,BUSINESS_OWNER
Modesta,McCullough,Modesta.McCullough@gmail.com,zNmoUq2a5jjHA70,BUSINESS_OWNER
Zaria,Morissette,Zaria_Morissette@gmail.com,0nuO70VxufQlRt5,AVAILABLE_RESOURCE
Adrain,Padberg,Adrain7@yahoo.com,EIrNmCfcZPTpLP_,AVAILABLE_RESOURCE
Celia,Murazik,Celia14@hotmail.com,U5wFo_JpXNwt3bc,AVAILABLE_RESOURCE
Hilton,Howe,Hilton.Howe@gmail.com,8Yumdchi0_deEP5,AVAILABLE_RESOURCE
Dejon,Raynor,Dejon_Raynor@gmail.com,JiLVQWkcJUEovUe,AVAILABLE_RESOURCE
Antonietta,Leffler,Antonietta_Leffler@yahoo.com,AgIk5OzYdYgJ5_s,ASSIGNED_RESOURCE
Rex,Orn,Rex.Orn@yahoo.com,DJl57SJ6cZFF4VH,ASSIGNED_RESOURCE
Maxwell,Koelpin,Maxwell.Koelpin@hotmail.com,G3qyxTxZ48Mbkrc,ASSIGNED_RESOURCE
Mabelle,Quitzon,Mabelle.Quitzon53@hotmail.com,7aThPGuSOohfRot,ASSIGNED_RESOURCE
Braxton,Koch,Braxton.Koch@hotmail.com,FelpGwShXdA3iDG,ASSIGNED_RESOURCE
